     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y14 |   0.40 |  -0.26 |   1.19 |   0.00 |   0.37 |   0.37 |   0.23 |  -0.28 |  -0.19 |   0.65 |  -0.26 |   0.26 |  -0.37 |   1.00 |   0.91 |   0.21 |   0.42 |  -0.42 |  -0.28 |   0.70 |   0.95 |   1.33 |   0.70 |   0.14 |  -0.16 |  -0.60 |  -0.02 |   0.28 |   0.00 |  -0.16 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.12 |   0.00 |   0.00 |   0.00 |   0.21 |   0.00 |   3.05 |
 y40 |   3.07 |   7.84 |   5.21 |   0.00 |   6.42 |   7.42 |   4.51 |   4.19 |  -1.21 |   5.23 |   7.84 |   3.16 |   4.58 |   0.00 |  -0.60 |   1.86 |   1.72 |  -0.72 |   6.19 |   4.53 |   5.70 |  -0.88 |   0.53 |   5.91 |   4.44 |   4.07 |   6.35 |  -0.19 |   4.00 |   0.44 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.26 |   0.00 |   0.00 |   0.00 |  -0.14 |   1.00 |  41.30 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   4.23 |   0.71 |  -0.32 |  -5.65 |   4.35 |   0.35 |   0.77 |  -2.16 |  -5.32 |  -7.13 |   3.71 |  -4.35 |   0.00 |   0.00 |   2.16 |  -0.10 |  -5.55 |   0.26 |   0.84 |   1.61 |  -1.74 |  -2.74 |   2.61 |   1.94 |   1.55 |  -0.42 |   2.13 |   1.52 |  -2.65 |  -2.45 |   1.00 |   0.00 |   0.00 |   0.00 |  -0.71 |   0.00 |   0.00 |   0.00 |  -0.45 |   0.00 |  20.10 |
 y32 |   4.00 |  -4.00 |  -2.00 |  -9.00 |   1.00 |  -0.00 |  -2.00 |  -6.00 |  -9.00 |  -5.00 |  -1.00 |  -4.00 |   0.00 |   0.00 |   5.00 | -10.00 |  -3.00 |  -7.00 |  -6.00 |   7.00 |  -5.00 |   7.00 |   2.00 |   1.00 |  -7.00 | -11.00 |   2.00 |  -1.00 | -12.00 |   1.00 |   0.00 |   1.00 |   0.00 |   0.00 |  -2.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  31.00 |
 y33 |   2.06 |   1.77 |  -4.81 |  -3.61 |  -2.61 |   3.39 |  -4.06 |  -2.90 |  -3.81 |   0.68 |   4.77 |  -3.39 |   0.00 |   0.00 |  -1.10 |   1.26 |  -5.87 |  -5.35 |   3.10 |   4.03 |  -2.35 |   4.65 |   5.03 |  -4.16 |   3.87 |  -1.55 |   1.32 |   4.29 |  -2.61 |   1.87 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.77 |   0.00 |   0.00 |   0.00 |  -0.13 |   0.00 |  11.74 |
 y34 |   0.97 |   5.61 |   2.90 |  -3.19 |   3.81 |   6.81 |  -1.97 |  -0.55 |   1.90 |   4.16 |   3.61 |   6.19 |   0.00 |   0.00 |   1.55 |  -2.13 |  -4.06 |  -0.32 |   1.45 |   6.48 |  -0.32 |   7.68 |   6.48 |   2.58 |   1.06 |  -3.23 |   5.84 |   5.35 |   2.81 |   4.06 |   0.00 |   0.00 |   0.00 |   1.00 |  -0.61 |   0.00 |   0.00 |   0.00 |   0.06 |   0.00 |  28.13 |
 y13 |   0.06 |   0.77 |   0.19 |   1.39 |   0.39 |   0.39 |   0.94 |   1.10 |   1.19 |   0.68 |   0.77 |   0.61 |   1.00 |   0.00 |  -0.10 |   1.26 |   1.13 |   1.65 |   1.10 |   0.03 |   0.65 |  -0.35 |   0.03 |   0.84 |   0.87 |   1.45 |   0.32 |   0.29 |   1.39 |   0.87 |   0.00 |   0.00 |   0.00 |   0.00 |   0.23 |   0.00 |   0.00 |   0.00 |  -0.13 |   0.00 |   0.74 |
 y36 |   4.19 |   5.32 |  -0.42 |  -3.84 |   2.16 |   5.16 |   3.81 |   3.29 |  -2.42 |   4.03 |   5.32 |   4.84 |   0.00 |   0.00 |   0.71 |  -0.23 |  -2.61 |   0.94 |  -0.71 |  -0.90 |  -1.06 |  -1.06 |   1.10 |   3.52 |   5.61 |   4.35 |   1.97 |   4.87 |   2.16 |   2.61 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.32 |   1.00 |   0.00 |   0.00 |  -0.39 |   0.00 |  18.23 |
 y37 |   7.19 |   6.32 |  -3.42 |  -1.84 |   2.16 |  -0.84 |  -1.19 |  -0.71 |   5.58 |  -2.97 |   1.32 |   5.84 |   0.00 |   0.00 |   4.71 |  -0.23 |  -0.61 |  -3.06 |   0.29 |   2.10 |  -2.06 |   1.94 |  -1.90 |   4.52 |   5.61 |   0.35 |   1.97 |   0.87 |  -2.84 |  -1.39 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.32 |   0.00 |   1.00 |   0.00 |  -0.39 |   0.00 |  20.23 |
 y38 |   7.39 |  -0.35 |   6.16 |  -2.68 |   6.32 |   7.32 |   3.61 |   2.58 |  -2.84 |   1.06 |   6.65 |   1.68 |   0.00 |   0.00 |   7.42 |  -2.45 |  -0.23 |   1.87 |   5.58 |   4.19 |   4.87 |   4.87 |   4.19 |   3.03 |   4.23 |   1.71 |   2.94 |   4.74 |   2.32 |   0.23 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.65 |   0.00 |   0.00 |   1.00 |   0.23 |   0.00 |  16.45 |
 y14 |   0.42 |   0.03 |   1.26 |   0.52 |   0.52 |   0.52 |   0.58 |   0.13 |   0.26 |   0.90 |   0.03 |   0.48 |   0.00 |   1.00 |   0.87 |   0.68 |   0.84 |   0.19 |   0.13 |   0.71 |   1.19 |   1.19 |   0.71 |   0.45 |   0.16 |  -0.06 |   0.10 |   0.39 |   0.52 |   0.16 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.03 |   0.00 |   0.00 |   0.00 |   0.16 |   0.00 |   3.32 |
 y40 |   2.77 |   4.29 |   4.32 |  -6.35 |   4.65 |   5.65 |   0.23 |  -0.84 |  -6.68 |   2.13 |   4.29 |   0.35 |   0.00 |   0.00 |  -0.16 |  -3.90 |  -3.45 |  -8.26 |   1.16 |   4.39 |   2.74 |   0.74 |   0.39 |   2.06 |   0.45 |  -2.58 |   4.87 |  -1.52 |  -2.35 |  -3.55 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.29 |   0.00 |   0.00 |   0.00 |   0.45 |   1.00 |  37.90 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   3.80 |  -4.40 |  -1.60 | -14.80 |   1.80 |  -2.20 |  -5.40 |  -9.40 | -13.20 | -11.60 |  -1.40 |  -8.40 |  -6.60 |   0.00 |   2.80 |  -8.40 | -13.00 | -10.60 |  -6.40 |   1.40 |  -6.00 |  -0.40 |   2.40 |  -3.60 |  -4.20 | -10.00 |   0.00 |  -0.40 | -11.80 |  -8.20 |   1.00 |   0.00 |   0.00 |   0.00 |  -2.20 |   0.00 |   0.00 |   0.00 |   0.40 |   0.00 |  15.20 |
 y32 |   3.60 |  -8.80 |  -3.20 | -17.60 |  -1.40 |  -2.40 |  -7.80 | -12.80 | -16.40 |  -9.20 |  -5.80 |  -7.80 |  -6.20 |   0.00 |   5.60 | -17.80 | -10.00 | -17.20 | -12.80 |   6.80 |  -9.00 |   9.20 |   1.80 |  -4.20 | -12.40 | -20.00 |   0.00 |  -2.80 | -20.60 |  -4.40 |   0.00 |   1.00 |   0.00 |   0.00 |  -3.40 |   0.00 |   0.00 |   0.00 |   1.80 |   0.00 |  26.40 |
 y33 |   1.80 |  -1.40 |  -5.60 |  -9.30 |  -4.20 |   1.80 |  -7.90 |  -7.40 |  -8.70 |  -2.10 |   1.60 |  -5.90 |  -4.10 |   0.00 |  -0.70 |  -3.90 | -10.50 | -12.10 |  -1.40 |   3.90 |  -5.00 |   6.10 |   4.90 |  -7.60 |   0.30 |  -7.50 |   0.00 |   3.10 |  -8.30 |  -1.70 |   0.00 |   0.00 |   1.00 |   0.00 |  -1.70 |   0.00 |   0.00 |   0.00 |   0.40 |   0.00 |   8.70 |
 y34 |  -0.20 |  -8.40 |  -0.60 | -28.30 |  -3.20 |  -0.20 | -18.90 | -20.40 | -19.70 |  -8.10 | -10.40 |  -4.90 | -18.10 |   0.00 |   3.30 | -24.90 | -24.50 | -30.10 | -18.40 |   5.90 | -12.00 |  14.10 |   5.90 | -12.60 | -14.70 | -29.50 |   0.00 |   0.10 | -22.30 | -11.70 |   0.00 |   0.00 |   0.00 |   1.00 |  -4.70 |   0.00 |   0.00 |   0.00 |   2.40 |   0.00 |  14.70 |
 y27 |   0.20 |   2.40 |   0.60 |   4.30 |   1.20 |   1.20 |   2.90 |   3.40 |   3.70 |   2.10 |   2.40 |   1.90 |   3.10 |   0.00 |  -0.30 |   3.90 |   3.50 |   5.10 |   3.40 |   0.10 |   2.00 |  -1.10 |   0.10 |   2.60 |   2.70 |   4.50 |   1.00 |   0.90 |   4.30 |   2.70 |   0.00 |   0.00 |   0.00 |   0.00 |   0.70 |   0.00 |   0.00 |   0.00 |  -0.40 |   0.00 |   2.30 |
 y36 |   3.80 |   0.60 |  -1.60 | -12.30 |  -0.20 |   2.80 |  -1.90 |  -3.40 |  -9.70 |  -0.10 |   0.60 |   1.10 |  -6.10 |   0.00 |   1.30 |  -7.90 |  -9.50 |  -9.10 |  -7.40 |  -1.10 |  -5.00 |   1.10 |   0.90 |  -1.60 |   0.30 |  -4.50 |   0.00 |   3.10 |  -6.30 |  -2.70 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.70 |   1.00 |   0.00 |   0.00 |   0.40 |   0.00 |  13.70 |
 y37 |   6.80 |   1.60 |  -4.60 | -10.30 |  -0.20 |  -3.20 |  -6.90 |  -7.40 |  -1.70 |  -7.10 |  -3.40 |   2.10 |  -6.10 |   0.00 |   5.30 |  -7.90 |  -7.50 | -13.10 |  -6.40 |   1.90 |  -6.00 |   4.10 |  -2.10 |  -0.60 |   0.30 |  -8.50 |   0.00 |  -0.90 | -11.30 |  -6.70 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.70 |   0.00 |   1.00 |   0.00 |   0.40 |   0.00 |  15.70 |
 y38 |   6.80 |  -7.40 |   4.40 | -15.30 |   2.80 |   3.80 |  -4.90 |  -7.40 | -13.70 |  -5.10 |  -0.40 |  -3.90 |  -9.10 |   0.00 |   8.30 | -13.90 | -10.50 | -13.10 |  -4.40 |   3.90 |  -1.00 |   8.10 |   3.90 |  -4.60 |  -3.70 | -11.50 |   0.00 |   2.10 | -10.30 |  -7.70 |   0.00 |   0.00 |   0.00 |   0.00 |  -2.70 |   0.00 |   0.00 |   1.00 |   1.40 |   0.00 |   9.70 |
 y14 |   0.40 |  -0.20 |   1.20 |   0.10 |   0.40 |   0.40 |   0.30 |  -0.20 |  -0.10 |   0.70 |  -0.20 |   0.30 |  -0.30 |   1.00 |   0.90 |   0.30 |   0.50 |  -0.30 |  -0.20 |   0.70 |   1.00 |   1.30 |   0.70 |   0.20 |  -0.10 |  -0.50 |   0.00 |   0.30 |   0.10 |  -0.10 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.10 |   0.00 |   0.00 |   0.00 |   0.20 |   0.00 |   3.10 |
